(                      mean      median        std
 Height_in        68.600000   68.450000   1.670662
 Weight_lb       131.900000  136.000000  14.231811
 Age_yr           32.500000   29.500000  12.860361
 Grip_kg          26.000000   27.000000   4.521553
 Height_m          1.742440    1.738630   0.042435
 Weight_kg        59.828834   61.688562   6.455441
 BMI              19.682000   19.185000   1.780972
 Frailty_binary    0.400000    0.000000   0.516398
 AgeGroup_30?45    0.300000    0.000000   0.483046
 AgeGroup_46?60    0.200000    0.000000   0.421637
" AgeGroup_<30      0.500000    0.500000   0.527046,"
 -0.4758668672668007)
